BASIN	MAP012023041205	MAP032023041205	MAP062023041205	MAP242023041205	GMAP062023041205	GMAP242023041205	ASMU062023041205	ASML062023041205	ASMT062023041205	FFG012023041205	FFG032023041205	FFG062023041205	PREVFFG012023041205	PREVFFG032023041205	PREVFFG062023041205	F1MAP012023041205	F1MAP032023041205	F1MAP062023041205	F1MAP242023041205	F2MAP012023041205	F2MAP032023041205	F2MAP062023041205	F2MAP242023041205	F3MAP012023041205	F3MAP032023041205	F3MAP062023041205	F3MAP242023041205	IFFT012023041205	IFFT032023041205	IFFT062023041205	PFFT012023041205	PFFT032023041205	PFFT062023041205	F1FFT012023041205	F1FFT032023041205	F1FFT062023041205	F2FFT012023041205	F2FFT032023041205	F2FFT062023041205	F3FFT012023041205	F3FFT032023041205	F3FFT062023041205	PET062023041205	F1FFR122023041205	F1FFR242023041205	F1FFR362023041205	F2FFR122023041205	F2FFR242023041205	F2FFR362023041205	F3FFR122023041205	F3FFR242023041205	F3FFR362023041205
2037200056	0.00	0.00	0.78	14.55	0.00	0.00	0.83	0.81	0.83	57.58	62.64	69.31	69.37	74.64	81.48	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200058	0.00	0.00	0.29	10.19	0.00	0.00	0.79	0.76	0.78	71.47	77.17	84.50	79.24	85.02	92.40	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200059	0.00	0.00	0.32	10.72	0.00	0.00	0.73	0.66	0.69	102.23	109.93	119.31	110.59	118.17	127.40	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200060	0.00	0.00	0.01	10.30	0.00	0.00	0.68	0.69	0.69	22.09	25.56	30.58	28.81	32.46	37.64	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200061	0.00	0.00	0.42	10.39	0.00	0.00	0.50	0.60	0.57	67.07	73.34	81.34	73.87	80.19	88.21	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200062	0.00	0.00	0.08	9.91	0.00	0.00	0.70	0.70	0.70	21.59	25.05	30.06	27.00	30.60	35.74	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200067	0.00	0.00	0.25	8.90	0.00	0.00	0.83	0.79	0.82	57.29	62.38	69.07	60.45	65.58	72.32	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200070	0.00	0.00	0.32	9.84	0.00	0.00	0.81	0.80	0.81	62.57	67.72	74.46	66.97	72.20	79.02	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200071	0.00	0.00	0.25	7.97	0.00	0.00	0.64	0.68	0.67	23.48	26.99	32.05	26.69	30.29	35.43	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200072	0.00	0.00	0.23	9.51	0.00	0.00	0.87	0.88	0.87	41.89	46.06	51.76	45.40	49.64	55.40	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
